Eviction ID,Address,City,State,Near Shuttle,Eviction Notice Source Zipcode,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Constraints Date,Supervisor District,Neighborhoods - Analysis Boundaries,Longitude,Latitude,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,Fix It Zones as of 2018-02-07
M183446,400 Block Of Arballo  Drive,San Francisco,CA,FALSE,94132,12/24/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4831506,37.7194541,42,10,8,16,14,8,4,1,64,,,2,,
M183421,2400 Block Of Lake  Street,San Francisco,CA,FALSE,94121,12/24/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2,Seacliff,-122.4856898,37.78577641,1,8,6,33,33,6,1,11,55,,,1,,
M183449,400 Block Of Arballo  Drive,San Francisco,CA,FALSE,94132,12/24/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4830125,37.71944833,42,10,8,16,14,8,4,1,64,,,2,,
M183475,400 Block Of Madrid  Street,San Francisco,CA,FALSE,94112,12/24/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2/28/24,11,Excelsior,-122.4322788,37.72242132,90,9,1,7,5,7,6,9,28861,,,2,,
M183436,100 Block Of Font  Boulevard,San Francisco,CA,FALSE,94132,12/24/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4736299,37.71554505,42,10,8,16,14,8,4,1,64,,,2,,
M183447,500 Block Of Vidal  Drive,San Francisco,CA,FALSE,94132,12/24/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4840314,37.71566847,42,10,8,16,14,8,4,1,64,,,2,,
M183440,400 Block Of Arballo  Drive,San Francisco,CA,FALSE,94132,12/24/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4830125,37.71944833,42,10,8,16,14,8,4,1,64,,,2,,
M183452,300 Block Of Garces  Drive,San Francisco,CA,FALSE,94132,12/24/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4824453,37.71616378,42,10,8,16,14,8,4,1,64,,,2,,
M183426,100 Block Of Font  Boulevard,San Francisco,CA,FALSE,94132,12/24/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4736299,37.71554505,42,10,8,16,14,8,4,1,64,,,2,,
M183417,1200 Block Of Broadway  Street,San Francisco,CA,FALSE,94109,12/21/18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,
M183416,400 Block Of Cambridge  Street,San Francisco,CA,FALSE,94134,12/21/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,9,Excelsior,-122.4182209,37.72580596,92,2,2,7,5,7,7,9,309,,,2,,
M183359,2400 Block Of Lake  Street,San Francisco,CA,FALSE,94121,12/20/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2,Seacliff,-122.4856898,37.78577641,1,8,6,33,33,6,1,11,55,,,1,,
M183365,1300 Block Of Alemany  Boulevard,San Francisco,CA,FALSE,94112,12/20/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,11,Outer Mission,-122.4335992,37.7294727,94,9,1,28,25,7,6,9,28861,,,1,,
M183385,0 Block Of Mount Vernon  Avenue,San Francisco,CA,FALSE,94112,12/18/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,11,Outer Mission,-122.4434763,37.715296,80,9,1,28,25,7,6,9,28861,,,2,,
M183375,1800 Block Of 36th  Avenue,San Francisco,CA,FALSE,94122,12/18/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4,Sunset/Parkside,-122.4945569,37.75250589,39,10,7,35,35,8,3,1,56,,,1,,
M183344,500 Block Of Capitol  Avenue,San Francisco,CA,FALSE,94112,12/14/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,11,Oceanview/Merced/Ingleside,-122.4591196,37.7153327,81,10,1,24,24,8,6,9,28861,,,2,,8
M183372,2600 Block Of 46th  Avenue,San Francisco,CA,FALSE,94116,12/13/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2/10/24,4,Sunset/Parkside,-122.5042244,37.73711956,40,10,7,35,35,8,3,1,29491,,,1,,
M183300,800 Block Of Gonzalez  Drive,San Francisco,CA,FALSE,94132,12/13/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4823769,37.71750272,42,10,8,16,14,8,4,1,64,,,2,,
M183294,500 Block Of Gonzalez  Drive,San Francisco,CA,FALSE,94132,12/13/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.478851,37.71609926,42,10,8,16,14,8,4,1,64,,,2,,
M183302,100 Block Of Font  Boulevard,San Francisco,CA,FALSE,94132,12/13/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4736299,37.71554505,42,10,8,16,14,8,4,1,64,,,2,,
M183297,0 Block Of Chumasero  Drive,San Francisco,CA,FALSE,94132,12/13/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4729724,37.71323913,42,10,8,16,14,8,4,1,64,,,2,,
M183299,0 Block Of Garces  Drive,San Francisco,CA,FALSE,94132,12/13/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4789251,37.715086,42,10,8,16,14,8,4,1,64,,,2,,
M183306,400 Block Of Vidal  Drive,San Francisco,CA,FALSE,94132,12/13/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4848523,37.71670342,42,10,8,16,14,8,4,1,64,,,2,,
M183307,0 Block Of Chumasero  Drive,San Francisco,CA,FALSE,94132,12/13/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4729724,37.71323913,42,10,8,16,14,8,4,1,64,,,2,,
M183296,0 Block Of Chumasero  Drive,San Francisco,CA,FALSE,94132,12/13/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4729724,37.71323913,42,10,8,16,14,8,4,1,64,,,2,,
M183285,500 Block Of Capitol  Avenue,San Francisco,CA,FALSE,94112,12/11/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,11,Oceanview/Merced/Ingleside,-122.4591196,37.7153327,81,10,1,24,24,8,6,9,28861,,,2,,8
M183280,2200 Block Of 38th  Avenue,San Francisco,CA,FALSE,94116,12/11/18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,4,Sunset/Parkside,-122.4961755,37.74495385,39,10,7,35,35,8,3,1,29491,,,1,,
M183277,4400 Block Of Cabrillo  Street,San Francisco,CA,FALSE,94121,12/10/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,Outer Richmond,-122.5062802,37.77337681,8,8,4,29,26,6,2,11,55,,,1,,
M183370,300 Block Of Hearst  Avenue,San Francisco,CA,FALSE,94112,12/10/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2/2/24,7,West of Twin Peaks,-122.4454363,37.73075867,95,9,8,41,40,7,4,9,59,,,1,,
M183275,2700 Block Of 44th  Avenue,San Francisco,CA,FALSE,94116,12/10/18,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4,Sunset/Parkside,-122.5021267,37.73589259,40,10,7,35,35,8,3,1,29491,,,1,,
M183276,0 Block Of Kiska  Road,San Francisco,CA,FALSE,94124,12/10/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,10,Bayview Hunters Point,-122.3785583,37.73031115,78,2,9,1,1,3,8,10,58,,,2,,
M183369,1800 Block Of 36th  Avenue,San Francisco,CA,FALSE,94122,12/10/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4,Sunset/Parkside,-122.4945569,37.75250589,39,10,7,35,35,8,3,1,56,,,1,,
M183330,2700 Block Of Rivera  Street,San Francisco,CA,FALSE,94116,12/7/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4,Sunset/Parkside,-122.4957707,37.74584939,39,10,7,35,35,8,3,1,29491,,,1,,
M183179,100 Block Of Bucareli  Drive,San Francisco,CA,FALSE,94132,12/3/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4807068,37.71648967,42,10,8,16,14,8,4,1,64,,,2,,
M183187,400 Block Of Vidal  Drive,San Francisco,CA,FALSE,94132,12/3/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4848523,37.71670342,42,10,8,16,14,8,4,1,64,,,2,,
M183181,0 Block Of Acevedo  Avenue,San Francisco,CA,FALSE,94132,12/3/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4838523,37.71976286,42,10,8,16,14,8,4,1,64,,,2,,
M183173,400 Block Of Monterey  Boulevard,San Francisco,CA,FALSE,94127,12/3/18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,West of Twin Peaks,-122.4454441,37.73146036,95,9,8,41,40,7,4,9,59,,,1,,
M183184,100 Block Of Font  Boulevard,San Francisco,CA,FALSE,94132,12/3/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4736299,37.71554505,42,10,8,16,14,8,4,1,64,,,2,,
M183180,300 Block Of Garces  Drive,San Francisco,CA,FALSE,94132,12/3/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4824394,37.71627354,42,10,8,16,14,8,4,1,64,,,2,,
M183256,100 Block Of Font  Boulevard,San Francisco,CA,FALSE,94132,12/3/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4736299,37.71554505,42,10,8,16,14,8,4,1,64,,,2,,
M183186,100 Block Of Font  Boulevard,San Francisco,CA,FALSE,94132,12/3/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4736299,37.71554505,42,10,8,16,14,8,4,1,64,,,2,,
M183257,0 Block Of Chumasero  Drive,San Francisco,CA,FALSE,94132,12/3/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4729724,37.71323913,42,10,8,16,14,8,4,1,64,,,2,,
M183183,100 Block Of Font  Boulevard,San Francisco,CA,FALSE,94132,12/3/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4736299,37.71554505,42,10,8,16,14,8,4,1,64,,,2,,
M183172,500 Block Of 36th  Avenue,San Francisco,CA,FALSE,94121,11/29/18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,Outer Richmond,-122.4963826,37.77859268,8,8,4,29,26,6,2,11,55,,,1,,
M183164,4400 Block Of Fulton  Street,San Francisco,CA,FALSE,94121,11/27/18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,Outer Richmond,-122.4793748,37.77284491,8,8,4,29,26,6,2,11,55,,,1,,
M183212,1400 Block Of 36th  Avenue,San Francisco,CA,FALSE,94122,11/27/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1/20/24,4,Sunset/Parkside,-122.4950788,37.75996595,39,10,7,35,35,8,3,1,56,,,1,,
M183231,800 Block Of 39th  Avenue,San Francisco,CA,FALSE,94121,11/26/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,Outer Richmond,-122.4991819,37.77282131,8,8,4,29,26,6,2,11,55,,,1,,
M183160,1400 Block Of 39th  Avenue,San Francisco,CA,FALSE,94122,11/21/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4,Sunset/Parkside,-122.4982898,37.75982484,39,10,7,35,35,8,3,1,56,,,1,,
M183146,200 Block Of Montana  Street,San Francisco,CA,FALSE,94112,11/19/18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,11,Oceanview/Merced/Ingleside,-122.4614229,37.71652692,81,10,1,24,24,8,6,9,28861,,,2,,8
M183142,0 Block Of Norton  Street,San Francisco,CA,FALSE,94112,11/16/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,11,Outer Mission,-122.4357803,37.72495727,94,9,1,28,25,7,6,9,28861,,,1,,
M183140,400 Block Of 42nd  Avenue,San Francisco,CA,FALSE,94121,11/15/18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,Outer Richmond,-122.5030984,37.78039008,6,8,4,29,26,6,2,11,55,,,1,,
M183137,1200 Block Of 35th  Avenue,San Francisco,CA,FALSE,94122,11/15/18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4,Sunset/Parkside,-122.4942674,37.76374916,39,10,7,35,35,8,3,1,56,,,1,,
M183082,500 Block Of Arballo  Drive,San Francisco,CA,FALSE,94132,11/13/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4832207,37.71839711,42,10,8,16,14,8,4,1,64,,,2,,
M183086,0 Block Of Garces  Drive,San Francisco,CA,FALSE,94132,11/13/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4789251,37.715086,42,10,8,16,14,8,4,1,64,,,2,,
M183084,0 Block Of Chumasero  Drive,San Francisco,CA,FALSE,94132,11/13/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4729724,37.71323913,42,10,8,16,14,8,4,1,64,,,2,,
M183108,600 Block Of Huron  Avenue,San Francisco,CA,FALSE,94112,11/7/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,11,Outer Mission,-122.4490716,37.71237572,66,9,1,28,25,7,6,9,28861,,,2,,
M183071,400 Block Of Edinburgh  Street,San Francisco,CA,FALSE,94112,11/7/18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,11,Excelsior,-122.4314786,37.72203907,90,9,1,7,5,7,6,9,28861,,,2,,
M183109,600 Block Of Huron  Avenue,San Francisco,CA,FALSE,94112,11/7/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,11,Outer Mission,-122.4490716,37.71237572,66,9,1,28,25,7,6,9,28861,,,2,,
M183026,2700 Block Of 44th  Avenue,San Francisco,CA,FALSE,94116,11/1/18,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4,Sunset/Parkside,-122.5021267,37.73589259,40,10,7,35,35,8,3,1,29491,,,1,,
M183023,0 Block Of Norton  Street,San Francisco,CA,FALSE,94112,10/31/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,11,Outer Mission,-122.4357803,37.72495727,94,9,1,28,25,7,6,9,28861,,,1,,
